y,gpp_2000
367,127.0871
368,127.1003
369,127.0057
370,126.9015
371,127.0091
372,126.7834
373,126.7711
374,126.8079
375,126.6647
376,126.5969
377,126.6935
378,126.5189
379,126.749
380,126.7104
381,126.7643
382,126.7346
383,126.709
384,126.9059
385,126.9855
386,126.9143
387,126.9204
388,126.9593
389,127.1347
390,126.9082
391,126.902
392,126.8803
393,126.9177
394,127.0137
395,126.8559
396,126.7782
397,126.8557
398,126.7174
399,126.8536
400,126.6868
401,126.6409
402,126.5903
403,126.5989
404,126.7063
405,126.5728
406,126.4619
407,126.2526
408,125.8732
409,126.1256
410,125.9958
411,125.9371
412,125.8902
413,126.0125
414,126.0131
415,125.983
416,125.8133
417,125.7613
418,125.6255
419,125.8874
420,125.927
421,125.8317
422,125.5698
423,125.5613
424,125.6583
425,125.7126
426,125.5919
427,125.6666
428,125.6452
429,125.7505
430,125.5754
431,125.5867
432,125.4872
433,125.4933
434,125.0943
435,125.6711
436,125.7051
437,125.6876
438,125.8213
439,125.9241
440,126.036
441,126.075
442,126.0446
443,126.1442
444,126.2237
445,126.1695
446,126.1563
447,126.2199
448,126.271
449,126.1362
450,126.124
451,126.0724
452,126.0239
453,126.1317
454,126.1233
455,126.0986
456,126.107
457,126.1118
458,126.1945
459,126.2771
460,126.2375
461,126.0103
462,125.9468
463,123.8971
464,123.1701
465,122.3981
466,122.3066
467,122.4045
468,122.5664
469,122.7931
470,122.8778
471,122.8166
472,123.0754
473,122.9942
474,123.0072
475,122.9334
476,122.9858
477,122.9576
478,123.0948
479,123.1208
480,123.0338
481,122.9986
482,123.0318
483,122.874
484,123.0382
485,122.8477
486,122.8102
487,122.8113
488,122.8484
489,122.8324
490,122.9115
491,122.7978
492,122.8285
493,122.8618
494,122.8912
495,122.6428
496,122.6796
497,122.6432
498,122.6437
499,122.7157
500,122.6779
501,122.5993
502,122.7465
503,122.6452
504,122.7075
505,122.6134
506,122.6142
507,122.5117
508,122.6163
509,122.6078
510,122.4625
511,122.4542
512,122.5234
513,122.414
514,122.5482
515,122.3973
516,122.3665
517,122.4613
518,122.4983
519,122.4549
520,122.4261
521,122.3418
522,122.373
523,122.2981
524,122.3538
525,122.2355
526,122.331
527,122.2667
528,122.2859
529,122.3225
530,122.2608
531,122.1421
532,122.294
533,122.2254
534,122.2971
535,122.225
536,122.1994
537,122.1433
538,122.2363
539,122.2212
540,122.1084
541,122.0957
542,122.2153
543,122.1571
544,121.5566
545,121.1395
546,121.0434
547,121.0888
548,121.0567
549,120.9421
550,120.9571
551,121.0101
552,121.1724
553,121.1264
554,121.2072
555,121.083
556,121.1467
557,121.2048
558,121.2687
559,121.3703
560,121.3173
561,121.1748
562,121.2254
563,121.2301
564,121.3452
565,121.2007
566,121.2143
567,121.2415
568,121.2846
569,121.2588
570,121.2553
571,121.3789
572,121.4101
573,121.1926
574,121.2522
575,121.1609
576,121.215
577,121.1552
578,121.2575
579,121.2969
580,121.2117
581,121.1522
582,121.211
583,121.2372
584,121.319
585,121.1411
586,121.107
587,121.1562
588,121.1976
589,121.1534
590,121.0943
591,121.0812
592,121.1973
593,121.1013
594,121.2111
595,121.1896
596,121.1952
597,121.052
598,121.0037
599,121.1358
600,121.1018
601,120.9929
602,121.0015
603,120.9882
604,121.108
605,120.9658
606,121.0716
607,121.0466
608,121.0545
609,120.9635
610,120.8612
611,120.9056
612,120.9776
613,121.0007
614,121.055
615,120.9296
616,120.8355
617,121.7734
618,122.1533
619,122.3977
620,122.6879
621,122.8217
622,122.8252
623,122.6454
624,122.6968
625,122.7123
626,122.6148
627,122.6009
628,122.5297
629,122.5525
630,122.5168
631,122.3513
632,122.3839
633,122.4401
634,122.5268
635,122.3735
636,122.3194
637,122.3599
638,122.3205
