Time (year),npp (PgC a-1)
2064.5,74.27474212646484
2065.5,74.2662353515625
2066.5,74.25220489501953
2067.5,74.24536895751953
2068.5,74.2420425415039
2069.5,74.23634338378906
2070.5,74.24176025390625
2071.5,74.20738220214844
2072.5,74.20968627929688
2073.5,74.1865005493164
2074.5,74.19208526611328
2075.5,74.20480346679688
2076.5,74.1844253540039
2077.5,74.16326141357422
2078.5,74.14766693115234
2079.5,74.15263366699219
2080.5,74.15947723388672
2081.5,74.14229583740234
2082.5,74.14073181152344
2083.5,74.11249542236328
2084.5,74.10643005371094
2085.5,74.09754180908203
2086.5,74.10031127929688
2087.5,74.0701904296875
2088.5,74.08885192871094
2089.5,74.05654907226562
2090.5,74.06259155273438
2091.5,74.04366302490234
2092.5,74.04303741455078
2093.5,74.03794860839844
2094.5,74.04853820800781
2095.5,73.99652099609375
2096.5,74.00657653808594
2097.5,73.98723602294922
2098.5,73.98494720458984
2099.5,73.99305725097656
2100.5,73.97403717041016
2101.5,73.96147918701172
2102.5,73.96226501464844
2103.5,73.95547485351562
2104.5,73.93399047851562
2105.5,73.93748474121094
2106.5,73.94548797607422
2107.5,73.90589904785156
2108.5,73.92023468017578
2109.5,73.91272735595703
2110.5,73.90567016601562
2111.5,73.8939437866211
2112.5,73.90609741210938
2113.5,73.87459564208984
2114.5,73.88917541503906
2115.5,73.8636474609375
2116.5,73.86534881591797
2117.5,73.86534118652344
2118.5,73.87273406982422
2119.5,73.83716583251953
2120.5,73.8466567993164
2121.5,73.83133697509766
2122.5,73.83423614501953
2123.5,73.8321533203125
2124.5,73.84073638916016
2125.5,73.80986785888672
2126.5,73.8176498413086
2127.5,73.81552124023438
2128.5,73.81731414794922
2129.5,73.81891632080078
2130.5,73.81640625
2131.5,73.79450225830078
2132.5,73.80416870117188
2133.5,73.80712890625
2134.5,73.8016357421875
2135.5,73.7870864868164
2136.5,73.80284118652344
2137.5,73.77704620361328
2138.5,73.79019165039062
2139.5,73.79330444335938
2140.5,73.79483032226562
2141.5,73.7809829711914
2142.5,73.7930679321289
2143.5,73.76657104492188
2144.5,73.77281188964844
2145.5,73.75973510742188
2146.5,73.7715835571289
2147.5,73.79049682617188
2148.5,73.76138305664062
2149.5,73.76641082763672
2150.5,73.76599884033203
2151.5,73.74977111816406
2152.5,73.77063751220703
