Time (Year),co2
1972,456.24327999999997
1973,456.76878
1974,456.18555999999995
1975,454.97657000000004
1976,454.28742
1977,454.37942000000004
1978,454.02905999999996
1979,453.04281
1980,451.69690999999995
1981,450.66162
1982,450.68024
1983,450.56838
1984,450.40604
1985,450.09595
1986,449.29262
1987,449.48765
1988,449.81982999999997
1989,449.06467000000004
1990,448.32892999999996
1991,447.18622999999997
1992,446.71245999999996
1993,447.19268
1994,446.42154000000005
1995,445.00910999999996
1996,443.73411
1997,443.98487
1998,444.22997999999995
1999,443.16310999999996
2000,442.16419
2001,441.95585
2002,442.20894000000004
2003,443.18322
2004,443.20435999999995
2005,442.57019
2006,441.89979000000005
2007,441.56639
2008,441.95930999999996
2009,441.58462000000003
2010,440.55294000000004
2011,439.29078
2012,438.84038
2013,439.97629000000006
2014,440.10135
2015,439.06899000000004
2016,438.31057000000004
2017,438.41478
2018,439.21916
2019,438.60679000000005
2020,438.0164
2021,437.47603
2022,437.37067
2023,437.91733
2024,438.26919000000004
2025,437.47205
2026,436.87037999999995
2027,436.62329000000005
2028,435.70572999999996
2029,435.62915
2030,436.30723
2031,435.7839
2032,434.73925999999994
2033,433.64533
2034,432.94689000000005
2035,433.45626
2036,433.84060999999997
2037,433.4316
2038,432.89527999999996
2039,432.3512
2040,432.89829000000003
2041,433.5287
2042,432.37164
2043,431.67398
2044,432.26645
2045,433.00740999999994
2046,432.67199000000005
2047,432.00354000000004
2048,431.36818
2049,431.23372
2050,431.30970999999994
2051,430.33195
2052,429.04402000000005
2053,428.4521
2054,428.33625
2055,428.16907000000003
2056,428.00304000000006
2057,427.25767
2058,427.044
2059,427.09146
2060,427.45108
2061,427.42214
2062,426.68242999999995
2063,425.78503
2064,425.01828
2065,424.43437
2066,424.65737
2067,424.96135
2068,425.76499
2069,426.1424
2070,424.83180999999996
2071,423.47677000000004
2072,423.20337
2073,424.02095
2074,424.40515999999997
2075,424.01520999999997
2076,424.03369000000004
2077,423.67416
2078,423.22375999999997
2079,423.81549
2080,423.86298
2081,422.79239
2082,421.51842999999997
2083,421.57075999999995
2084,421.93762000000004
2085,421.67335999999995
2086,421.18403
2087,421.55595999999997
2088,422.3885
2089,422.28979000000004
2090,421.25877
2091,419.92113
2092,419.09532
2093,419.86553
2094,420.60205
2095,420.27859000000007
2096,418.92196
2097,417.96421000000004
2098,418.24492000000004
2099,418.75947
2100,418.58965
2101,418.15979
2102,417.57996
2103,417.8322
2104,418.02542
2105,417.5785
2106,417.14015
2107,417.39364
2108,417.52979
2109,417.16639
2110,416.36697999999996
2111,415.98443
2112,415.95967
2113,416.23348
2114,416.49979
2115,416.08985
2116,415.71064
2117,416.42593
2118,416.90396
2119,416.02921000000003
2120,415.20222
2121,414.51679
2122,414.78282
2123,415.59483
2124,415.94917999999996
2125,415.31453
2126,414.54026
2127,414.1975
2128,413.9107
2129,413.3525
2130,413.48966
2131,414.15632
2132,413.36817
2133,412.78029
2134,412.79913999999997
2135,413.28627
2136,413.78182999999996
2137,412.86708
2138,411.75093
2139,411.50428999999997
2140,411.67247000000003
2141,412.61152000000004
2142,412.7858
2143,412.0404
2144,410.95461
2145,410.65222
2146,410.91181
2147,410.9532
2148,410.43208
2149,410.09323
2150,409.82836000000003
2151,409.56843
2152,409.87842
2153,409.78583
2154,409.42823
2155,409.32202
2156,409.50516
2157,409.43311
2158,409.43277
2159,409.48195
2160,409.52718
