Time (Year),rsut
1977,106.24611999999999
1978,106.99545
1979,106.81398999999999
1980,106.28068
1981,106.0692
1982,106.58957
1983,106.47823999999999
1984,106.48321999999999
1985,106.44543
1986,106.81365
1987,106.65319
1988,106.80901999999999
1989,106.5737
1990,106.98783
1991,106.84411999999999
1992,106.56793
1993,106.98907
1994,106.67251999999999
1995,106.78653999999999
1996,106.63848
1997,106.40926
1998,106.60483
1999,106.54417
2000,106.25838999999999
2001,106.55819
2002,106.75431
2003,106.73291
2004,106.57619
2005,106.88828000000001
2006,106.59018999999999
2007,106.94977
2008,106.41281000000001
2009,106.66993000000001
2010,106.83413
2011,106.7999
2012,106.96483
2013,106.52411000000001
2014,106.47303000000001
2015,106.52718999999999
2016,106.49947
2017,106.78165
2018,106.80868999999998
2019,106.66651999999999
2020,106.61681000000002
2021,106.61725
2022,106.64851000000002
2023,106.47513000000001
2024,106.34253999999999
2025,106.6723
2026,106.75358
2027,107.10333999999999
2028,106.80266999999999
2029,106.81303999999999
2030,106.80532
2031,106.86478000000001
2032,106.60821999999999
2033,106.77191
2034,107.18508
2035,107.05001000000001
2036,106.61448999999999
2037,106.63208
2038,107.03333
2039,107.00153
2040,106.72193
2041,106.74037
2042,106.3256
2043,106.45673000000001
2044,106.47621000000001
2045,106.88256000000001
2046,106.70796000000001
2047,106.67076999999999
2048,106.57245
2049,106.58703999999999
2050,106.74998000000001
2051,106.95355
2052,106.38271
2053,107.01061999999999
2054,106.58805
2055,106.76663
2056,106.60876
2057,107.15016999999999
2058,106.82
2059,106.84698999999999
2060,106.74878999999999
2061,106.49865
2062,106.9735
2063,107.00912
2064,106.82495
2065,106.61922
2066,106.75511999999999
2067,106.55044
2068,106.79655
2069,106.4945
2070,107.03901
2071,107.12239
2072,107.29203999999999
2073,106.92893000000001
2074,106.76897
2075,106.64124
2076,106.8912
2077,107.06155
2078,106.74421000000001
2079,106.97318
2080,107.0742
2081,106.78302
2082,106.5753
2083,106.7557
2084,106.77765
2085,107.06473000000001
2086,106.81249
2087,106.70364
2088,106.99174
2089,106.76888999999998
2090,106.50095
2091,106.61086999999999
2092,106.89339
2093,107.0603
2094,106.69771000000001
2095,106.73126
2096,107.15218
2097,107.0987
2098,106.80077
2099,106.45635
2100,106.83362
2101,107.28376999999999
2102,107.13696000000002
2103,106.99388
2104,106.4702
2105,106.84161999999999
2106,106.61164
2107,106.59043999999999
2108,106.73741000000001
2109,106.8591
2110,106.81371999999999
2111,106.8079
2112,106.8525
2113,106.9963
2114,107.11533999999999
2115,107.13105
2116,106.62836000000001
2117,106.93021
2118,106.89096
2119,106.68373000000001
2120,106.67078000000001
2121,106.95674
2122,106.61703999999999
2123,107.04422
2124,106.5512
2125,106.45955
2126,107.05943
2127,107.23697
2128,107.07036000000001
2129,106.46378999999999
2130,107.18941000000001
2131,106.6804
2132,106.90768999999999
2133,107.02653000000001
2134,106.74158
2135,106.83492
2136,106.74332
2137,106.98881000000002
2138,106.39931999999999
2139,106.4217
2140,106.82972
2141,106.91273999999999
2142,106.53012
2143,106.8407
2144,107.02905
2145,106.80175
2146,106.6615
2147,107.02815
2148,106.9807
2149,106.97103
2150,106.96713999999999
2151,106.53711000000001
2152,107.06101000000001
2153,106.99615
2154,107.05056
2155,106.68888999999999
2156,107.25576000000001
2157,107.13768999999999
2158,106.91608000000001
2159,106.63988
2160,106.48998999999999
