Time (Year),gpp
2059,123.29006000000001
2060,122.91696
2061,122.69605
2062,123.9373
2063,124.7573
2064,125.67291999999999
2065,123.42991
2066,122.40483
2067,123.10881
2068,124.08745
2069,123.96891000000001
2070,125.6758
2071,123.74171000000001
2072,123.06782
2073,123.3788
2074,124.71156
2075,124.80586000000001
2076,125.77909
2077,122.74406
2078,122.63051999999999
2079,124.20618999999999
2080,125.03581000000001
2081,124.98308
2082,120.96526999999999
2083,122.08513
2084,124.52731999999999
2085,125.89007
2086,123.32104
2087,122.23455
2088,123.70624
2089,125.03797
2090,124.57645
2091,123.74601000000001
2092,122.24283
2093,124.39544
2094,124.23265
2095,123.60184
2096,122.66806000000001
2097,122.29157
2098,123.25323999999999
2099,124.08991
2100,122.90256000000001
2101,122.78448
2102,122.62868999999999
2103,122.04153000000001
2104,122.75636000000002
2105,120.52571999999999
2106,121.79326999999999
2107,123.05531
2108,121.32781999999999
2109,122.27321
2110,121.78975
2111,123.79737
2112,124.44975
2113,121.09942
2114,121.52575
2115,121.50247
2116,122.23658
2117,121.86806999999999
2118,121.42718
2119,123.19025
2120,121.38181000000002
2121,121.62438999999999
2122,123.40853999999999
2123,122.2827
2124,123.8474
2125,122.75657
2126,121.33371000000001
2127,122.24623999999999
2128,121.13638999999999
2129,121.70756000000002
2130,123.06808999999998
2131,122.96027
2132,121.96613
2133,121.43725
2134,122.33833999999999
2135,124.08039
2136,123.01019
2137,121.99542
2138,121.72495
2139,122.2963
2140,123.55424
2141,121.72957
2142,120.19089
2143,122.24063000000001
2144,122.50823999999999
2145,122.61606
2146,123.60793000000001
2147,122.62083999999999
2148,123.00854
2149,123.02148000000001
2150,123.34638999999999
2151,121.16516000000001
2152,121.30195
2153,122.4417
2154,121.50617
2155,123.16715
2156,122.27145
2157,120.34241999999999
2158,121.77338
2159,121.30442
2160,122.71101999999999
